created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-08-31 11:14:31 UTC,7440,-10,,50.49,271,,,23.23,
2018-08-31 11:14:37 UTC,7441,-10,,50.87,276,,,23.26,
2018-08-31 11:14:44 UTC,7442,-10,,50.91,264,,,23.31,
2018-08-31 11:14:50 UTC,7443,-10,,51.52,258,,,23.35,
2018-08-31 11:14:56 UTC,7444,-10,,50.83,261,,,23.38,
2018-08-31 11:15:02 UTC,7445,-10,,50.46,276,,,23.42,
2018-08-31 11:15:08 UTC,7446,-10,,51.24,282,,,23.47,
2018-08-31 11:15:14 UTC,7447,-10,,50.71,290,,,23.51,
2018-08-31 11:15:20 UTC,7448,-10,,50.77,279,,,23.56,
2018-08-31 11:25:36 UTC,7449,404,,45.90,979.22,,331,,
2018-08-31 11:26:41 UTC,7450,404,,46.31,979.21,,340,,
2018-08-31 11:27:46 UTC,7451,404,,45.14,979.21,,346,,
2018-08-31 11:28:51 UTC,7452,404,,46.11,979.18,,309,,
2018-08-31 11:29:56 UTC,7453,404,,45.82,979.16,,288,,
2018-08-31 11:31:01 UTC,7454,404,,46.03,979.17,,331,,
2018-08-31 11:32:06 UTC,7455,404,,45.31,979.13,,345,,
2018-08-31 11:33:12 UTC,7456,404,,46.36,979.18,,337,,
2018-08-31 11:34:17 UTC,7457,404,,46.17,979.13,,337,,
2018-08-31 11:35:22 UTC,7458,404,,45.83,979.11,,339,,
2018-08-31 11:36:27 UTC,7459,404,,45.97,979.11,,301,,
2018-08-31 11:37:35 UTC,7460,404,,45.38,979.15,,328,,
2018-08-31 11:40:02 UTC,7461,0.00,956,49.52,,980.12,0,25.09,
2018-08-31 11:40:09 UTC,7462,9.02,947,49.64,,980.10,0,25.28,
2018-08-31 11:40:15 UTC,7463,14.05,982,48.45,,980.12,0,25.19,
2018-08-31 11:40:22 UTC,7464,18.70,1031,47.43,,980.14,3,25.28,
2018-08-31 11:40:51 UTC,7465,27.14,1021,46.71,,980.14,0,25.64,
2018-08-31 11:40:58 UTC,7466,29.89,1029,46.74,,980.14,0,25.74,
2018-08-31 11:41:07 UTC,7467,34.36,1054,47.09,,980.16,0,25.78,
2018-08-31 11:41:17 UTC,7468,34.67,1211,46.01,,980.14,0,25.89,
2018-08-31 11:41:23 UTC,7469,37.67,1221,45.99,,980.12,0,25.91,
2018-08-31 11:41:42 UTC,7470,45.95,1280,51.11,,980.14,0,26.24,
2018-08-31 11:42:19 UTC,7471,50.49,1497,46.43,,980.18,0,26.64,
2018-08-31 11:42:40 UTC,7472,49.13,1438,48.71,,980.14,0,26.38,
2018-08-31 11:43:23 UTC,7473,55.65,1689,42.97,,980.20,0,27.12,
2018-08-31 11:43:38 UTC,7474,58.10,1564,42.72,,980.18,0,27.08,
2018-08-31 11:43:45 UTC,7475,47.96,1915,46.80,,980.22,0,27.08,
2018-08-31 11:43:51 UTC,7476,51.38,1511,48.23,,980.20,3,27.05,
2018-08-31 11:44:00 UTC,7477,54.29,1332,46.04,,980.22,0,27.07,
2018-08-31 11:44:10 UTC,7478,48.10,1242,44.38,,980.22,3,27.11,
2018-08-31 11:44:17 UTC,7479,51.98,1154,43.87,,980.20,3,27.10,
2018-08-31 11:44:23 UTC,7480,55.25,1175,42.65,,980.20,0,27.08,
2018-08-31 11:44:29 UTC,7481,56.43,1168,41.92,,980.20,3,27.00,
2018-08-31 11:44:36 UTC,7482,57.00,1156,43.03,,980.22,3,26.91,
2018-08-31 11:44:59 UTC,7483,49.28,878,56.86,,980.20,0,27.41,
2018-08-31 11:45:00 UTC,7484,57.67,1142,44.41,,980.22,0,26.80,
2018-08-31 11:45:06 UTC,7485,49.74,1515,44.56,,980.20,0,27.52,
2018-08-31 11:45:15 UTC,7486,53.36,1345,42.16,,980.26,0,27.37,
2018-08-31 11:45:24 UTC,7487,49.83,1092,41.99,,980.20,3,27.24,
2018-08-31 11:45:31 UTC,7488,53.53,1192,45.80,,980.22,0,27.26,
2018-08-31 11:45:37 UTC,7489,57.78,1263,44.02,,980.24,0,27.10,
2018-08-31 11:45:43 UTC,7490,60.87,1264,41.50,,980.20,4,27.00,
2018-08-31 11:45:50 UTC,7491,62.86,1265,42.16,,980.20,3,26.98,
2018-08-31 11:45:56 UTC,7492,64.01,1271,44.89,,980.20,0,27.04,
2018-08-31 11:46:02 UTC,7493,63.96,1289,49.23,,980.20,3,27.17,
2018-08-31 11:46:09 UTC,7494,65.30,1350,46.21,,980.18,0,27.05,
2018-08-31 11:46:15 UTC,7495,66.22,1242,50.50,,980.18,3,27.11,
2018-08-31 11:46:21 UTC,7496,67.06,1639,50.53,,980.18,0,27.20,
2018-08-31 11:46:40 UTC,7497,69.72,1316,41.46,,980.20,0,27.58,
2018-08-31 11:46:46 UTC,7498,70.65,219,49.20,,980.20,0,27.73,
2018-08-31 11:46:56 UTC,7499,70.42,1629,51.33,,980.20,0,28.18,
2018-08-31 11:47:02 UTC,7500,64.60,1711,44.04,,980.18,3,28.13,
2018-08-31 11:47:12 UTC,7501,66.22,1527,43.07,,980.18,0,27.96,
2018-08-31 11:47:32 UTC,7502,56.66,1355,44.18,,980.18,0,27.29,
2018-08-31 11:47:38 UTC,7503,62.08,1305,41.88,,980.16,3,27.17,
2018-08-31 11:47:44 UTC,7504,65.91,1203,41.64,,980.16,0,27.17,
2018-08-31 11:47:51 UTC,7505,67.92,1131,41.55,,980.20,0,27.12,
2018-08-31 11:47:58 UTC,7506,68.59,1088,41.38,,980.20,3,27.11,
2018-08-31 11:48:07 UTC,7507,69.26,1110,42.13,,980.18,0,27.01,
2018-08-31 11:50:24 UTC,7508,1,0.00,0.00,0.00,0,,2,0.00
2018-08-31 11:52:24 UTC,7509,404,,45.34,979.10,,221,,
2018-08-31 11:53:29 UTC,7510,404,,44.46,979.13,,237,,
2018-08-31 11:54:34 UTC,7511,404,,42.14,979.10,,585,,
2018-08-31 11:55:40 UTC,7512,404,,41.64,979.12,,534,,
2018-08-31 11:56:29 UTC,7513,1,0.00,0.00,0.00,0,,6,0.00
2018-08-31 11:56:39 UTC,7514,1,0.00,0.00,0.00,0,,0,0.00
2018-08-31 11:59:31 UTC,7515,404,,39.10,978.98,,516,,
2018-08-31 12:00:13 UTC,7516,1,0.00,0.00,0.00,0,,3,0.00
2018-08-31 12:00:36 UTC,7517,404,,39.28,979.15,,525,,
2018-08-31 12:00:48 UTC,7518,1,0.00,0.00,0.00,0,,3,0.00
2018-08-31 12:01:41 UTC,7519,404,,39.22,979.16,,534,,
2018-08-31 12:03:13 UTC,7520,404,,38.82,979.11,,549,,
2018-08-31 12:04:18 UTC,7521,404,,39.82,979.20,,561,,
2018-08-31 12:06:27 UTC,7522,404,,37.87,979.17,,579,,
2018-08-31 12:13:50 UTC,7523,404,27.76,39.58,979.17,,405,,
2018-08-31 12:14:55 UTC,7524,404,27.73,39.81,979.14,,438,,
2018-08-31 12:15:59 UTC,7525,404,27.78,39.95,979.20,,410,,
2018-08-31 12:17:04 UTC,7526,404,27.49,40.29,979.13,,368,,
2018-08-31 12:18:09 UTC,7527,404,27.32,39.85,979.19,,380,,
2018-08-31 12:19:14 UTC,7528,404,26.98,41.85,979.18,,255,,
2018-08-31 12:21:12 UTC,7529,404,26.81,39.66,979.19,,281,,
2018-08-31 12:22:17 UTC,7530,404,26.66,36.99,979.13,,234,,
2018-08-31 12:23:49 UTC,7531,404,26.54,35.77,979.13,,254,,
2018-08-31 12:24:54 UTC,7532,404,26.63,33.16,979.11,,276,,
2018-08-31 12:25:59 UTC,7533,404,26.87,31.18,979.11,,274,,
2018-08-31 12:27:09 UTC,7534,404,27.00,29.81,979.10,,272,,
2018-08-31 12:28:15 UTC,7535,404,26.93,28.90,979.11,,272,,
2018-08-31 12:29:20 UTC,7536,404,26.64,28.36,979.12,,254,,
2018-08-31 12:30:25 UTC,7537,404,26.60,27.82,979.08,,273,,
2018-08-31 12:31:30 UTC,7538,404,26.41,27.66,979.10,,292,,
2018-08-31 12:33:43 UTC,7539,404,26.06,27.52,978.65,,281,,


